Item Name,Item Code
"ONE HOLE STRAP 3/4""",125-10800-000
"ONE HOLE STRAP 1""",900-11600-000
"ONE HOLE STRAP 1 1/4""",900-11650-000
"ONE HOLE STRAP 1 1/2""",900-11700-000
"ONE HOLE STRAP 2""",900-11750-000
"WSHR 3/4-1/2""",900-14250-000
"WSHR 1-1/2""",900-14300-000
"WSHR 1-3/4""",900-14350-000
WSHR 1 1/2-3/4,900-14500-000
"WSHR 2-1""",900-14400-000
"WSHR 3-2""",900-14600-000
"KO SEAL 1/2""",125-11900-000
"KO SEAL 3/4""",125-11950-000
"KO SEAL 1""",125-22000-000
"KO SEAL 1 1/4""",125-12000-000
"KO SEAL 1 1/2""",125-12050-000
"KO SEAL 2""",125-12100-000
DEAKO FACE PLATE 1 GANG,120-19000-000
DEAKO FACE PLATE 2 GANG,120-19050-000
DEAKO FACE PLATE 3 GANG,120-19100-000
DEAKO FACE PLATE 4 GANG,120-27800-000
DEAKO BACK PLATE 1 GANG,120-28000-000
DEAKO BACK PLATE 2 GANG,120-28050-000
DEAKO BACK PLATE 3 GANG,120-28100-000
DEAKO BACK PLATE 4 GANG,120-28150-000
DEAKO MULTI-WAY SWITCHES-3 WAY,120-19150-000
DEAKO MULTI-WAY SWITCHES-4 WAY,120-19200-000
LOW VOLTAGE WIRE,130-11250-000
RG6 CABLE WIRE,130-13050-000
CAT6 BOX,130-12200-000
AUGER BIT 3/4'',915-20000-000
"MASONRY BIT 1/4""",915-22100-000
"Hole Saw 3 5/8""",915-21050-000
"Hole Saw 4""",915-21200-000
ARBOR AND PILOT BIT,915-19350-000
SAW-SAW BLADE WOOD,915-22900-000
SAW-SAW BLADE METAL,915-22850-000
SERVICE WIRE BIT,915-23250-000
LOW VOLTAGE BIT,125-14000-000
2G Metal 1 Receptacle (1R),120-21800-000
2G Metal 2 Receptacle (2R),120-22050-000
2G Metal 1 Switch - 1 Receptacle (1S 1R),120-21950-000
2G Metal 1 Switch (1S),120-22100-000
2G Metal 2 Switch (2S),120-22000-000
2G Metal Dedicated (2D),120-21750-000
2G Metal Dryer,120-21850-000
2G Metal GFI,120-22150-000
PLASTER RINGS 1G,115-21200-000
PLASTER RINGS 2G,115-21250-000
SLOPE CAN (HALO),135-11800-000
SUPERSLOPE CAN (JUNO),135-11900-000
SLOPE TRIM (HALO),135-14950-000
SUPERSLOPE TRIM (JUNO),135-10650-000
MINI RECEP PLATE (W),120-10650-000
MINI SWITCH PLATE (1G),120-10750-000
MINI SWITCH PLATE (2G),120-12050-000
MINI SWITCH PLATE (3G),120-12900-000
MINI SWITCH PLATE (4G),120-14250-000
RANGE BOX (2G),115-22000-000
PANCAKE BOX,115-21000-000
"REMODEL CANS 6""",135-11600-000
"REMODEL CANS 4""",135-11500-000
HDMI  10',130-12450-000
HDMI  15',130-12500-000
HDMI  25',130-12600-000
HDMI PORT,120-13750-000
HDMI PORT PLATE,120-13800-000
CABLE F-COUPLER  (W),120-27050-000
PHONE END (WHITE),120-26950-000
CLEAR CAT 6 CONNECTOR,120-13700-000
CAT 6 PHONE END COUP,120-26900-000
1 HOLE PORT (W),120-26550-000
2 HOLE PORT (W),120-26600-000
BRUSH PLATE,130-11900-000
1 HOLE PORT JEWEL,120-26650-000
2 HOLE PORT JEWEL,120-26700-000
Putty Pad (Duct Seal) (C4),905-10350-000
20 AMP RECEPTICLES,120-28200-000
POP UP COUNTER POWER OUTLETS ALUM,900-11650-000
POP UP COUNTER POWER OUTLETS BLACK,310-10850-000
POP UP COUNTER POWER OUTLETS BRASS,900-11700-000
POP UP COUNTER POWER OUTLETS BRONZE,310-10900-000
POP UP COUNTER POWER OUTLETS CHROME,900-11750-000
POP UP COUNTER POWER OUTLETS NICKEL,115-24200-000
POP UP COUNTER POWER OUTLETS WHITE,120-10400-000
RING DOORBELL,120-21600-000
BRK SMART SMOKE/CARBON,150-10500-000
FIRST ALERT VIDEO DOORBELL,120-29150-000
DOORBELL TRANSFORMER,120-18650-000
TRANSFER SWITCH,120-22200-000
QUICKFLASH TAPE,905-10150-000
TYVEK FLEX TAPE,905-11950-000
ARC FAULT 15A PIG TAIL BR,105-33150-000
ARC FAULT 20A PIG TAIL BR,105-30350-000
ARC/GFI Combo 15A PIG TAIL BR,105-12350-000
